,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
2140,44,Yes,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,2,Laboratory Technician,Married,62720,1.0,Y,19,8,1,10.0,3,10,0,5
2141,28,No,Travel_Frequently,Research & Development,2,3,Life Sciences,Female,2,Sales Representative,Married,21270,1.0,Y,14,8,0,2.0,3,2,2,2
2143,30,No,Non-Travel,Research & Development,2,4,Other,Male,1,Research Scientist,Single,20960,7.0,Y,11,8,3,10.0,2,8,1,7
2145,28,No,Travel_Rarely,Sales,1,4,Life Sciences,Female,2,Sales Representative,Single,20330,2.0,Y,15,8,1,5.0,5,3,1,2
2146,25,No,Travel_Rarely,Research & Development,18,2,Life Sciences,Male,1,Research Scientist,Single,36220,1.0,Y,25,8,0,2.0,0,2,2,1
2147,32,No,Travel_Rarely,Research & Development,10,4,Other,Female,1,Sales Executive,Married,42330,1.0,Y,11,8,0,10.0,5,10,0,8
2150,58,No,Travel_Rarely,Research & Development,27,3,Other,Male,2,Laboratory Technician,Divorced,21870,1.0,Y,18,8,1,2.0,1,2,2,2
2151,32,Yes,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,1,Sales Executive,Married,96020,1.0,Y,13,8,1,10.0,3,10,1,1
2152,39,Yes,Travel_Rarely,Research & Development,18,2,Life Sciences,Male,2,Laboratory Technician,Single,28360,0.0,Y,20,8,0,6.0,3,5,0,3
2154,36,No,Travel_Rarely,Sales,1,3,Marketing,Male,2,Sales Executive,Married,166270,3.0,Y,12,8,0,10.0,5,7,1,7
2155,46,No,Travel_Rarely,Sales,4,3,Medical,Male,1,Research Scientist,Single,26190,6.0,Y,12,8,1,10.0,3,7,5,7
2158,40,Yes,Travel_Rarely,Sales,8,1,Other,Male,1,Laboratory Technician,Single,59850,2.0,Y,13,8,3,9.0,1,5,1,0
2160,30,No,Travel_Rarely,Research & Development,6,4,Medical,Female,1,Sales Executive,Married,30410,1.0,Y,11,8,1,9.0,2,9,0,8
2161,39,No,Travel_Rarely,Research & Development,26,1,Medical,Male,2,Healthcare Representative,Single,34470,0.0,Y,14,8,0,9.0,5,8,1,7
2164,31,Yes,Travel_Frequently,Research & Development,3,1,Life Sciences,Male,1,Sales Executive,Single,71040,1.0,Y,14,8,1,3.0,3,3,2,2
2165,44,Yes,Travel_Rarely,Sales,5,3,Life Sciences,Male,1,Laboratory Technician,Married,63220,4.0,Y,11,8,1,10.0,2,3,1,2
2170,34,No,Travel_Rarely,Research & Development,3,2,Technical Degree,Male,2,Research Director,Divorced,26590,0.0,Y,24,8,3,10.0,2,9,1,6
2172,41,No,Travel_Frequently,Sales,1,4,Other,Female,2,Healthcare Representative,Divorced,55610,0.0,Y,11,8,0,10.0,2,9,1,7
2173,35,No,Travel_Frequently,Sales,1,2,Technical Degree,Male,2,Manager,Single,66460,1.0,Y,13,8,1,9.0,2,9,1,1
2175,38,No,Travel_Rarely,Sales,2,4,Life Sciences,Female,1,Research Scientist,Divorced,107250,3.0,Y,18,8,0,11.0,5,7,1,7
2177,25,No,Travel_Rarely,Research & Development,6,2,Medical,Female,4,Research Scientist,Married,20450,3.0,Y,19,8,0,7.0,3,3,1,2
2179,40,No,Travel_Rarely,Research & Development,14,4,Medical,Female,1,Research Scientist,Married,33480,3.0,Y,22,8,0,7.0,2,4,0,3
2181,48,No,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,2,Research Scientist,Single,28190,1.0,Y,20,8,0,11.0,2,10,0,8
2184,18,No,Non-Travel,Research & Development,1,4,Medical,Male,2,Sales Executive,Single,27200,1.0,Y,22,8,1,0.0,2,0,0,0
2185,35,No,Travel_Rarely,Research & Development,1,4,Other,Female,2,Research Director,Married,81200,0.0,Y,13,8,0,10.0,2,9,0,0
2186,27,No,Travel_Frequently,Research & Development,26,4,Medical,Female,1,Research Director,Single,46470,3.0,Y,17,8,0,8.0,3,6,0,0
2189,34,No,Non-Travel,Sales,1,2,Life Sciences,Male,2,Research Scientist,Divorced,86210,1.0,Y,17,8,1,5.0,1,5,0,0
2192,31,Yes,Travel_Frequently,Research & Development,2,2,Medical,Female,2,Manufacturing Director,Single,53960,7.0,Y,17,8,1,3.0,2,1,0,0
2193,35,Yes,Travel_Frequently,Research & Development,1,2,Medical,Male,1,Manufacturing Director,Married,67960,0.0,Y,13,8,0,5.0,2,4,3,2
2194,38,No,Travel_Frequently,Research & Development,7,3,Medical,Female,2,Sales Representative,Divorced,76250,1.0,Y,15,8,0,4.0,2,4,0,3
2195,34,No,Travel_Rarely,Research & Development,10,4,Other,Female,2,Laboratory Technician,Single,74120,1.0,Y,24,8,0,14.0,4,14,4,11
2196,28,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,2,Healthcare Representative,Married,111590,1.0,Y,12,8,0,5.0,2,5,0,4
2198,39,No,Travel_Rarely,Research & Development,17,4,Technical Degree,Female,2,Healthcare Representative,Married,104750,3.0,Y,11,8,1,8.0,3,5,1,4
2199,51,No,Travel_Frequently,Research & Development,20,3,Medical,Male,2,Sales Executive,Married,148140,2.0,Y,11,8,1,14.0,2,4,3,2
2201,37,No,Travel_Rarely,Research & Development,2,2,Medical,Female,1,Healthcare Representative,Married,54050,7.0,Y,15,8,0,8.0,3,6,1,3
2202,33,No,Travel_Frequently,Research & Development,2,3,Medical,Female,1,Sales Executive,Married,87930,6.0,Y,17,8,0,8.0,2,5,1,2
2204,39,No,Non-Travel,Research & Development,29,2,Life Sciences,Male,2,Sales Executive,Married,38750,3.0,Y,15,8,0,13.0,3,6,0,5
2205,25,No,Travel_Rarely,Research & Development,7,4,Life Sciences,Male,1,Sales Executive,Married,22160,2.0,Y,13,8,3,6.0,2,3,1,2
2208,27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Married,37080,1.0,Y,16,8,2,6.0,2,6,4,4
2210,26,No,Travel_Rarely,Research & Development,2,2,Other,Male,3,Laboratory Technician,Single,53040,0.0,Y,20,8,1,5.0,2,4,1,1
2213,37,No,Travel_Rarely,Research & Development,20,5,Life Sciences,Male,2,Manager,Single,68040,4.0,Y,13,8,1,8.0,1,3,0,2
2214,35,No,Travel_Frequently,Research & Development,6,4,Medical,Female,2,Research Director,Single,61420,2.0,Y,15,8,1,10.0,2,2,2,2
2215,25,No,Travel_Rarely,Research & Development,1,4,Medical,Male,2,Sales Executive,Married,25000,4.0,Y,14,8,2,7.0,2,3,0,2
2216,26,No,Travel_Rarely,Research & Development,29,4,Life Sciences,Male,1,Research Scientist,Single,63890,0.0,Y,22,8,0,8.0,2,7,0,7
2217,29,No,Travel_Rarely,Sales,9,3,Life Sciences,Male,1,Laboratory Technician,Single,111030,1.0,Y,12,8,0,10.0,5,10,0,9
2223,36,No,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,53090,3.0,Y,13,8,0,15.0,5,5,0,1
2224,31,Yes,Travel_Frequently,Sales,4,3,Life Sciences,Male,2,Manager,Single,30570,1.0,Y,19,8,0,1.0,3,1,0,0
2225,30,No,Travel_Rarely,Sales,3,3,Life Sciences,Male,3,Sales Executive,Divorced,51210,7.0,Y,13,8,0,8.0,4,3,0,2
2226,31,No,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Laboratory Technician,Single,168560,3.0,Y,12,8,1,9.0,3,3,1,0
2227,34,No,Travel_Frequently,Sales,2,1,Marketing,Female,5,Manager,Divorced,26860,5.0,Y,11,8,0,10.0,3,4,1,3
2228,31,Yes,Travel_Rarely,Sales,20,3,Technical Degree,Male,1,Research Scientist,Single,61800,1.0,Y,14,8,1,1.0,2,1,0,0
2229,27,No,Travel_Rarely,Human Resources,11,4,Medical,Male,4,Sales Executive,Married,66320,0.0,Y,16,8,0,6.0,3,5,1,4
2230,36,No,Travel_Rarely,Sales,1,3,Marketing,Male,2,Research Scientist,Single,35050,1.0,Y,12,8,2,10.0,2,10,1,8
2231,36,No,Travel_Rarely,Research & Development,24,3,Other,Female,3,Research Director,Married,63970,4.0,Y,14,8,1,11.0,3,3,0,2
2232,47,No,Travel_Rarely,Research & Development,23,4,Life Sciences,Female,2,Sales Executive,Married,62740,7.0,Y,14,8,2,17.0,0,6,1,2
2234,37,No,Non-Travel,Sales,8,4,Medical,Male,1,Healthcare Representative,Single,75870,0.0,Y,22,8,1,7.0,5,6,1,3
2235,56,No,Travel_Rarely,Research & Development,10,4,Other,Male,2,Sales Representative,Married,42580,2.0,Y,16,8,0,5.0,2,3,1,0
2237,24,No,Travel_Rarely,Research & Development,5,1,Other,Male,1,Manufacturing Director,Married,43350,1.0,Y,15,8,1,5.0,5,5,0,3
2238,32,No,Travel_Rarely,Sales,4,3,Marketing,Male,1,Research Scientist,Married,53260,4.0,Y,14,8,1,7.0,2,4,0,3
2239,34,No,Travel_Rarely,Research & Development,9,2,Medical,Male,1,Sales Executive,Married,32800,5.0,Y,13,8,0,7.0,3,5,0,2
2240,41,No,Travel_Rarely,Research & Development,26,3,Medical,Female,3,Sales Executive,Married,54850,2.0,Y,17,8,2,7.0,2,4,0,3
2241,40,No,Non-Travel,Sales,3,2,Life Sciences,Male,1,Sales Executive,Divorced,43420,3.0,Y,11,8,1,11.0,6,8,0,7
2244,39,Yes,Non-Travel,Research & Development,2,4,Medical,Male,2,Manufacturing Director,Single,43810,2.0,Y,15,8,2,11.0,1,1,0,0
2245,31,Yes,Travel_Frequently,Sales,2,3,Medical,Male,2,Sales Executive,Single,25720,1.0,Y,13,8,3,10.0,3,10,4,7
2248,31,Yes,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,1,Laboratory Technician,Married,65000,6.0,Y,23,8,1,7.0,5,2,2,2
2250,48,No,Travel_Rarely,Research & Development,24,3,Technical Degree,Male,2,Research Scientist,Divorced,16010,4.0,Y,12,8,0,15.0,3,2,2,2
2251,34,Yes,Travel_Rarely,Research & Development,7,4,Medical,Male,2,Research Scientist,Married,26940,1.0,Y,16,8,1,2.0,3,2,2,2
2252,40,No,Non-Travel,Research & Development,25,4,Other,Female,1,Sales Executive,Divorced,31490,2.0,Y,15,8,1,16.0,1,9,4,8
2254,44,No,Non-Travel,Research & Development,5,3,Life Sciences,Male,1,Laboratory Technician,Single,23190,3.0,Y,18,8,0,7.0,4,5,0,3
2257,40,No,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,3,Laboratory Technician,Divorced,167520,2.0,Y,18,8,1,8.0,3,3,1,2
2258,44,No,Travel_Rarely,Research & Development,5,1,Other,Male,3,Research Scientist,Single,52280,1.0,Y,13,8,0,6.0,2,5,1,3
2259,33,No,Travel_Frequently,Human Resources,10,3,Medical,Female,2,Sales Executive,Married,27000,0.0,Y,14,8,3,5.0,2,4,0,3
2262,42,No,Travel_Frequently,Research & Development,8,4,Medical,Female,1,Sales Executive,Single,60620,1.0,Y,22,8,2,12.0,2,12,5,8
2263,44,No,Travel_Frequently,Research & Development,5,3,Life Sciences,Female,5,Manufacturing Director,Married,43820,7.0,Y,16,8,2,11.0,2,1,0,0
2264,30,No,Non-Travel,Research & Development,8,3,Life Sciences,Male,1,Manufacturing Director,Divorced,21430,1.0,Y,17,8,1,1.0,2,1,0,0
2265,57,No,Travel_Rarely,Sales,2,1,Life Sciences,Male,3,Research Scientist,Married,61620,0.0,Y,14,8,0,13.0,5,12,2,8
2268,28,Yes,Travel_Frequently,Research & Development,2,3,Medical,Male,1,Research Scientist,Married,22740,3.0,Y,20,8,1,5.0,5,3,1,2
2269,29,Yes,Travel_Frequently,Research & Development,28,3,Medical,Female,5,Research Scientist,Single,44340,5.0,Y,17,8,3,7.0,1,5,0,0
2271,35,No,Travel_Rarely,Sales,7,4,Other,Female,4,Healthcare Representative,Married,25530,1.0,Y,14,8,1,1.0,4,1,0,0
2272,24,Yes,Travel_Frequently,Sales,3,3,Life Sciences,Male,2,Research Scientist,Single,76540,2.0,Y,17,8,1,4.0,3,0,0,0
2273,24,No,Non-Travel,Research & Development,10,3,Life Sciences,Female,2,Manager,Married,51600,1.0,Y,17,8,1,1.0,3,1,0,0
2274,44,No,Travel_Frequently,Research & Development,5,2,Medical,Female,2,Research Scientist,Single,171590,5.0,Y,22,8,1,16.0,1,2,2,2
2275,29,No,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,128080,1.0,Y,13,8,0,10.0,6,10,0,4
2276,30,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,3,Sales Executive,Divorced,102210,0.0,Y,19,8,1,6.0,2,5,1,3
2277,55,No,Travel_Rarely,Sales,20,3,Marketing,Male,2,Research Scientist,Married,47790,0.0,Y,14,8,1,4.0,6,3,1,2
2279,47,No,Travel_Rarely,Research & Development,8,4,Medical,Female,2,Sales Representative,Married,23660,3.0,Y,17,8,0,11.0,5,5,1,2
2280,28,Yes,Travel_Frequently,Sales,1,3,Marketing,Male,2,Laboratory Technician,Single,17060,7.0,Y,12,8,0,8.0,3,0,0,0
2281,28,No,Travel_Rarely,Sales,8,4,Marketing,Male,1,Laboratory Technician,Divorced,163070,1.0,Y,16,8,0,1.0,3,1,0,0
2282,28,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,2,Sales Executive,Single,59330,0.0,Y,11,8,0,5.0,3,4,1,3
2283,49,No,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,1,Research Scientist,Married,34240,4.0,Y,11,8,0,10.0,3,3,1,2
2284,29,No,Travel_Frequently,Research & Development,8,1,Medical,Male,1,Research Scientist,Married,40370,0.0,Y,14,8,0,4.0,2,3,0,2
2285,28,No,Travel_Rarely,Research & Development,5,1,Technical Degree,Male,2,Laboratory Technician,Married,25590,1.0,Y,11,8,0,8.0,3,8,1,7
2286,33,No,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Sales Executive,Single,62010,2.0,Y,15,8,3,14.0,2,0,0,0
2287,32,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,3,Laboratory Technician,Single,44030,2.0,Y,20,8,0,10.0,3,5,0,0
2289,29,Yes,Travel_Rarely,Research & Development,5,3,Life Sciences,Female,2,Research Scientist,Single,109340,6.0,Y,17,8,2,11.0,2,9,0,7
2291,39,No,Travel_Rarely,Sales,6,1,Technical Degree,Female,2,Laboratory Technician,Single,51750,4.0,Y,17,8,1,9.0,2,2,2,2
2293,35,No,Travel_Rarely,Research & Development,23,4,Life Sciences,Male,2,Research Scientist,Single,63340,1.0,Y,14,8,0,11.0,2,11,3,3
2294,23,No,Travel_Rarely,Research & Development,2,4,Medical,Female,2,Manager,Single,49360,0.0,Y,19,8,1,5.0,2,4,1,2
2295,40,Yes,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Director,Single,47750,3.0,Y,15,8,1,15.0,3,5,1,0
2299,34,No,Travel_Rarely,Sales,25,5,Marketing,Female,1,Research Scientist,Married,41940,0.0,Y,17,8,2,12.0,3,11,5,7
2300,42,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,1,Manufacturing Director,Married,106850,4.0,Y,11,8,3,4.0,2,1,0,0
2301,37,No,Travel_Rarely,Research & Development,2,2,Medical,Male,1,Research Scientist,Married,20220,1.0,Y,12,8,0,10.0,1,10,3,7
2302,29,No,Travel_Rarely,Research & Development,1,3,Medical,Female,1,Manager,Married,23140,3.0,Y,13,8,0,9.0,5,7,0,7
2303,33,No,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,1,Research Scientist,Single,42560,1.0,Y,13,8,3,5.0,1,5,0,2
2304,45,No,Travel_Rarely,Sales,3,3,Life Sciences,Male,3,Laboratory Technician,Married,35800,4.0,Y,20,8,1,8.0,1,5,0,3
2307,33,No,Travel_Rarely,Research & Development,9,3,Medical,Female,2,Manufacturing Director,Married,28990,1.0,Y,17,8,0,15.0,3,15,5,7
2309,24,No,Travel_Rarely,Sales,10,2,Marketing,Male,1,Manufacturing Director,Divorced,23560,0.0,Y,13,8,0,2.0,5,1,0,0
2310,40,No,Non-Travel,Research & Development,7,3,Medical,Male,1,Research Scientist,Divorced,28000,3.0,Y,12,8,2,8.0,0,2,2,2
2312,35,No,Travel_Rarely,Research & Development,10,1,Life Sciences,Male,1,Healthcare Representative,Married,109030,0.0,Y,11,8,0,6.0,3,5,4,2
2313,32,No,Travel_Rarely,Research & Development,22,4,Medical,Male,1,Sales Executive,Married,29730,3.0,Y,22,8,0,12.0,0,7,2,5
2314,36,No,Travel_Rarely,Sales,9,3,Marketing,Female,4,Research Scientist,Single,142750,3.0,Y,18,8,1,7.0,5,3,1,2
2316,29,No,Travel_Rarely,Research & Development,23,4,Life Sciences,Female,2,Healthcare Representative,Married,45370,6.0,Y,18,8,1,5.0,5,1,0,0
2317,33,No,Travel_Rarely,Research & Development,9,1,Medical,Male,1,Healthcare Representative,Married,76420,2.0,Y,20,8,1,8.0,2,2,2,2
2319,38,No,Travel_Frequently,Sales,9,3,Marketing,Male,1,Manufacturing Director,Married,52040,3.0,Y,13,8,1,10.0,2,6,1,2
2320,35,No,Travel_Rarely,Sales,7,2,Life Sciences,Male,1,Sales Executive,Single,22770,1.0,Y,12,8,1,3.0,2,3,1,2
2321,30,No,Travel_Rarely,Research & Development,14,3,Technical Degree,Male,5,Research Director,Married,27950,3.0,Y,13,8,0,9.0,4,4,1,3
2322,35,Yes,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Research Scientist,Divorced,25320,1.0,Y,13,8,0,1.0,2,1,0,0
2324,38,Yes,Travel_Rarely,Research & Development,2,3,Medical,Female,3,Sales Executive,Married,49080,4.0,Y,19,8,1,7.0,3,5,1,4
2325,32,No,Non-Travel,Research & Development,10,4,Life Sciences,Female,5,Research Scientist,Married,23800,4.0,Y,13,8,0,9.0,5,6,1,2
2327,34,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,2,Sales Executive,Single,20440,1.0,Y,11,8,0,1.0,2,1,0,0
2330,26,No,Travel_Rarely,Research & Development,4,3,Life Sciences,Male,1,Research Director,Married,32940,1.0,Y,11,8,0,1.0,6,1,0,0
2332,38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,1,Manufacturing Director,Single,27780,2.0,Y,13,8,0,8.0,5,3,1,2
2333,36,No,Travel_Rarely,Human Resources,1,3,Human Resources,Male,1,Research Scientist,Single,23770,6.0,Y,13,8,2,15.0,3,1,0,0
2334,29,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,1,Sales Representative,Single,24040,1.0,Y,17,8,0,10.0,3,10,1,5
2335,35,No,Travel_Rarely,Sales,12,2,Life Sciences,Female,2,Sales Executive,Single,23180,3.0,Y,19,8,0,10.0,4,5,0,4
2337,29,No,Travel_Frequently,Research & Development,5,1,Medical,Female,1,Research Scientist,Divorced,62440,1.0,Y,22,8,0,6.0,3,6,1,3
2339,23,No,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,3,Manager,Married,105520,2.0,Y,11,8,0,4.0,2,2,2,2
2340,36,No,Travel_Frequently,Sales,21,3,Life Sciences,Male,2,Human Resources,Married,23290,3.0,Y,15,8,0,9.0,2,3,0,2
2344,40,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,2,Laboratory Technician,Married,69320,1.0,Y,13,8,0,5.0,5,5,1,2
2345,43,No,Travel_Rarely,Research & Development,1,1,Other,Male,1,Manager,Divorced,46780,5.0,Y,25,8,1,8.0,0,6,0,2
2346,35,No,Travel_Rarely,Sales,6,3,Marketing,Female,3,Sales Representative,Married,135820,1.0,Y,17,8,1,1.0,3,1,0,1
2348,28,Yes,Travel_Rarely,Human Resources,1,3,Medical,Female,2,Laboratory Technician,Married,24130,1.0,Y,16,8,1,1.0,2,1,0,0
2349,22,No,Non-Travel,Sales,17,2,Marketing,Male,3,Sales Executive,Married,97050,1.0,Y,18,8,2,4.0,3,4,1,3
2351,32,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,3,Research Scientist,Married,47210,3.0,Y,14,8,1,6.0,3,3,0,2
2353,30,No,Travel_Rarely,Research & Development,4,3,Medical,Female,1,Research Director,Married,21210,1.0,Y,13,8,1,6.0,2,6,1,1
2354,45,No,Travel_Rarely,Sales,29,2,Technical Degree,Female,2,Research Scientist,Single,29730,1.0,Y,12,8,0,10.0,2,10,1,4
2355,45,No,Non-Travel,Sales,2,4,Life Sciences,Male,2,Manufacturing Director,Married,58550,1.0,Y,14,8,1,10.0,3,10,4,5
2356,31,No,Travel_Frequently,Research & Development,7,3,Medical,Male,2,Research Scientist,Single,36170,7.0,Y,21,8,1,10.0,5,5,0,3
2359,49,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,3,Healthcare Representative,Married,69490,1.0,Y,14,8,1,10.0,2,9,1,4
2361,27,No,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,4,Research Scientist,Divorced,44470,1.0,Y,13,8,0,7.0,4,7,0,7
2362,35,No,Travel_Rarely,Research & Development,2,3,Medical,Female,2,Sales Executive,Married,21570,1.0,Y,25,8,0,16.0,1,16,1,10
2363,28,No,Travel_Rarely,Research & Development,23,3,Life Sciences,Male,3,Manufacturing Director,Divorced,46010,0.0,Y,15,8,2,6.0,2,5,0,0
2364,21,No,Travel_Rarely,Research & Development,3,1,Life Sciences,Female,1,Laboratory Technician,Single,170990,1.0,Y,14,8,1,3.0,2,2,2,2
2369,35,No,Non-Travel,Research & Development,29,3,Medical,Female,2,Sales Executive,Married,78230,1.0,Y,13,8,1,15.0,3,14,2,9
2370,37,No,Travel_Rarely,Research & Development,29,4,Technical Degree,Male,1,Laboratory Technician,Married,78800,3.0,Y,12,8,1,9.0,2,4,0,2
2371,39,No,Travel_Frequently,Research & Development,2,3,Technical Degree,Female,2,Manager,Single,131940,0.0,Y,11,8,0,10.0,2,9,3,8
2372,45,No,Travel_Rarely,Research & Development,28,3,Life Sciences,Female,2,Laboratory Technician,Divorced,50670,1.0,Y,11,8,2,10.0,3,10,3,9
2373,38,No,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,3,Sales Executive,Married,50790,3.0,Y,11,8,0,10.0,3,5,0,2
2376,40,No,Travel_Rarely,Research & Development,8,3,Technical Degree,Female,2,Healthcare Representative,Single,24040,6.0,Y,17,8,0,18.0,2,4,3,3
2377,44,No,Travel_Frequently,Sales,2,2,Marketing,Male,1,Laboratory Technician,Married,34520,4.0,Y,11,8,1,14.0,2,10,0,2
2379,35,Yes,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,2,Manager,Divorced,173990,6.0,Y,12,8,0,7.0,3,2,2,2
2380,24,No,Travel_Frequently,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,54880,1.0,Y,22,8,1,6.0,6,6,1,3
2382,27,No,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,1,Research Scientist,Single,28110,2.0,Y,20,8,0,6.0,3,4,1,2
2383,40,Yes,Travel_Rarely,Sales,16,4,Marketing,Male,1,Research Director,Single,36330,3.0,Y,16,8,2,10.0,0,4,0,3
2385,36,No,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,3,Sales Executive,Married,21320,4.0,Y,20,8,0,9.0,1,3,0,2
2386,25,No,Travel_Frequently,Sales,5,1,Marketing,Male,4,Manufacturing Director,Divorced,139730,1.0,Y,14,8,0,7.0,3,7,0,7
2387,39,No,Travel_Rarely,Sales,10,3,Marketing,Female,2,Research Director,Married,26840,4.0,Y,12,8,0,7.0,2,5,1,0
2389,50,No,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Sales Executive,Divorced,43770,5.0,Y,12,8,1,19.0,2,14,1,11
2390,20,No,Travel_Rarely,Research & Development,18,4,Medical,Female,2,Sales Executive,Single,37430,1.0,Y,13,8,1,2.0,2,2,2,2
2392,36,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Healthcare Representative,Single,10510,2.0,Y,14,8,0,15.0,2,4,1,3
2394,36,No,Non-Travel,Research & Development,8,4,Life Sciences,Male,4,Laboratory Technician,Married,103880,0.0,Y,14,8,0,4.0,2,3,1,2
2395,36,No,Travel_Rarely,Research & Development,2,2,Medical,Female,2,Healthcare Representative,Divorced,114160,6.0,Y,16,8,0,13.0,2,5,0,4
2399,38,No,Travel_Frequently,Research & Development,19,2,Life Sciences,Male,2,Research Scientist,Married,24510,7.0,Y,12,8,1,19.0,3,13,2,9
2400,29,No,Travel_Rarely,Research & Development,1,2,Medical,Male,2,Sales Representative,Divorced,42400,1.0,Y,14,8,0,10.0,2,10,0,9
2401,33,No,Travel_Rarely,Research & Development,7,3,Medical,Male,5,Sales Executive,Divorced,109990,1.0,Y,18,8,3,6.0,3,6,0,4
2402,32,No,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,5,Research Scientist,Divorced,50030,0.0,Y,13,8,0,10.0,5,9,1,6
2403,31,No,Travel_Rarely,Research & Development,28,4,Technical Degree,Female,2,Sales Executive,Married,127420,1.0,Y,11,8,0,10.0,4,10,0,2
2404,49,No,Travel_Rarely,Research & Development,2,4,Medical,Male,1,Laboratory Technician,Divorced,42270,4.0,Y,18,8,0,17.0,3,2,2,2
2405,38,No,Travel_Frequently,Sales,29,2,Medical,Female,1,Sales Executive,Single,39170,1.0,Y,15,8,3,4.0,2,4,3,3
2409,20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Sales Representative,Single,47770,1.0,Y,18,8,1,2.0,3,2,0,2
2410,33,No,Non-Travel,Research & Development,18,2,Medical,Female,2,Healthcare Representative,Divorced,63850,1.0,Y,13,8,0,7.0,6,6,1,2
2412,44,No,Travel_Rarely,Research & Development,9,3,Technical Degree,Female,3,Healthcare Representative,Divorced,68610,4.0,Y,12,8,0,8.0,2,2,2,2
2413,23,Yes,Travel_Rarely,Human Resources,6,3,Life Sciences,Female,3,Laboratory Technician,Single,49690,1.0,Y,12,8,0,5.0,3,5,1,2
2415,53,No,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,4,Research Director,Married,133200,3.0,Y,11,8,0,11.0,2,4,1,2
2417,32,Yes,Travel_Rarely,Sales,1,3,Life Sciences,Male,2,Research Scientist,Single,27430,1.0,Y,19,8,1,1.0,2,1,0,0
2418,26,No,Non-Travel,Research & Development,18,2,Medical,Male,1,Human Resources,Single,108800,1.0,Y,23,8,1,7.0,5,7,5,7
2419,55,No,Travel_Rarely,Research & Development,23,1,Life Sciences,Male,5,Laboratory Technician,Divorced,23420,5.0,Y,11,8,2,8.0,2,4,1,2
2421,60,No,Travel_Rarely,Sales,17,4,Medical,Male,1,Manager,Divorced,40250,3.0,Y,13,8,1,19.0,5,1,0,0
2422,33,No,Travel_Rarely,Sales,3,3,Life Sciences,Male,3,Manager,Married,97250,1.0,Y,11,8,0,14.0,0,14,2,13
2423,37,No,Travel_Frequently,Research & Development,13,3,Life Sciences,Male,1,Laboratory Technician,Divorced,119040,1.0,Y,12,8,1,6.0,4,6,1,3
2425,23,Yes,Travel_Rarely,Research & Development,12,2,Medical,Male,2,Research Scientist,Divorced,75250,1.0,Y,14,8,2,3.0,2,3,0,2
2427,35,No,Travel_Frequently,Research & Development,13,3,Life Sciences,Male,3,Sales Executive,Single,20420,0.0,Y,16,8,0,6.0,2,5,1,4
2429,24,No,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,3,Sales Executive,Married,10520,1.0,Y,13,8,0,5.0,3,5,0,4
2434,24,Yes,Travel_Rarely,Sales,6,2,Medical,Female,2,Manager,Married,20070,1.0,Y,12,8,0,1.0,2,1,0,0
2436,26,No,Travel_Rarely,Research & Development,9,1,Medical,Male,1,Sales Executive,Married,106860,1.0,Y,14,8,1,3.0,2,3,0,2
